Paquetes rcv,Tiempo instantaneo,Numero de paquete,Altitud BMP,Temperatura BMP ©,Presion mBar,Tension de la bateria V,Longitud,Latitud,Altitud GPS,Satelites GPS,Etapa de vuelo,GPS Hora,GPS Minutos,GPS Segundos,,,,
40,2077,40,75.80999756,50.22999954,980.0999756,7.96999979,9.991522789,-84.65309906,229.2999878,10,33,12,45,25.703125,,,, 
41,2077,41,88.18000031,50.21999741,978.6599731,7.960000038,9.991522789,-84.65309906,229.3999939,10,33,12,45,25.796875,,,, 
42,2077,42,106.2599945,50.21999741,976.5599976,7.96999979,9.991522789,-84.65309906,229.3999939,9,33,12,45,25.921875,,,, 
43,2078,43,119.159996,50.21999741,975.0599976,7.96999979,9.991522789,-84.65309906,229.3999939,11,33,12,45,26,,,, 
44,2078,44,124.7299957,50.20999908,974.4199829,7.96999979,9.99152565,-84.65309906,229.3999939,11,33,12,45,26.078125,,,, 
45,2078,45,132.7799988,50.20999908,973.4799805,7.96999979,9.991526604,-84.65309906,229.5999908,11,33,12,45,26.203125,,,, 
46,2078,46,138.1299896,50.20999908,972.8699951,7.96999979,9.991528511,-84.65309906,229.8999939,10,33,12,45,26.390625,,,, 
47,2078,47,142.3099976,50.20999908,972.3800049,7.96999979,9.99152565,-84.65309906,230.2999878,10,33,12,45,26.5,,,, 
48,2078,48,148.8600006,50.20999908,971.6199951,7.960000038,9.991526604,-84.65309906,230.5999908,9,33,12,45,26.59375,,,, 
49,2078,49,154.3199921,50.20999908,970.9899902,7.96999979,9.991528511,-84.65309906,231.0999908,9,33,12,45,26.703125,,,, 
50,2078,50,158.3099976,50.20999908,970.5299683,7.96999979,9.991533279,-84.65309906,231.6999969,9,33,12,45,26.796875,,,, 
51,2078,51,165.9100037,50.20999908,969.6599731,7.96999979,9.991535187,-84.65311432,232.0999908,7,33,12,45,26.921875,,,, 
52,2079,52,170,50.20999908,969.1799927,7.96999979,9.991535187,-84.65313721,232.5,7,33,12,45,27,,,, 
